PLZ,Ortsname,Ortsteil,Landkreis,Bundesland,location,geometry,address,latitude,longitude
80686,München,LaimSendling-Westpark,Stadt München,Bayern,"Bayern, München, 80686",POINT (11.5087801139947 48.13255399678268),"Laim, München, Bayern, 80686, Deutschland",48.13255399678268,11.508780113994701
80687,München,LaimPasing,Stadt München,Bayern,"Bayern, München, 80687",POINT (11.50176872533566 48.14099726759449),"Laim, München, Bayern, 80687, Deutschland",48.140997267594486,11.501768725335662
80689,München,HadernLaimPasing,Stadt München,Bayern,"Bayern, München, 80689",POINT (11.48950953606993 48.13116840196582),"Laim, München, Bayern, 80689, Deutschland",48.131168401965816,11.489509536069933
80796,München,Schwabing-West,Stadt München,Bayern,"Bayern, München, 80796",POINT (11.57068870822018 48.16176949132122),"Schwabing-West, München, Bayern, 80796, Deutschland",48.16176949132122,11.570688708220176
80797,München,MaxvorstadtMilbertshofenNeuhausenSchwabing-West,Stadt München,Bayern,"Bayern, München, 80797",POINT (11.55963335714909 48.16269515323251),"Schwabing-West, München, Bayern, 80797, Deutschland",48.16269515323251,11.55963335714909
80798,München,MaxvorstadtSchwabing-West,Stadt München,Bayern,"Bayern, München, 80798",POINT (11.56612687899457 48.15518772997744),"Maxvorstadt, München, Bayern, 80798, Deutschland",48.15518772997744,11.566126878994567
80799,München,MaxvorstadtSchwabingSchwabing-West,Stadt München,Bayern,"Bayern, München, 80799",POINT (11.57490029844259 48.15193923674441),"Maxvorstadt, München, Bayern, 80799, Deutschland",48.15193923674441,11.574900298442586
80801,München,SchwabingSchwabing-West,Stadt München,Bayern,"Bayern, München, 80801",POINT (11.57854366574689 48.15874387095106),"Schwabing-West, München, Bayern, 80801, Deutschland",48.158743870951064,11.578543665746889
80802,München,MaxvorstadtSchwabing,Stadt München,Bayern,"Bayern, München, 80802",POINT (11.58842121350522 48.16102745658409),"Bezirksteil Schwabing - Ost, Schwabing-Freimann, München, Bayern, 80802, Deutschland",48.16102745658409,11.58842121350522
80803,München,SchwabingSchwabing-West,Stadt München,Bayern,"Bayern, München, 80803",POINT (11.58063736075898 48.1648312542498),"Bezirksteil Münchener Freiheit, Schwabing-Freimann, München, Bayern, 80803, Deutschland",48.164831254249805,11.580637360758978
80804,München,SchwabingSchwabing-West,Stadt München,Bayern,"Bayern, München, 80804",POINT (11.58004162833634 48.1722598780153),"Schwabing-West, München, Bayern, 80804, Deutschland",48.172259878015296,11.580041628336343
80805,München,BogenhausenSchwabing,Stadt München,Bayern,"Bayern, München, 80805",POINT (11.5994666504749 48.17410846165853),"Bezirksteil Alte Heide - Hirschau, Schwabing-Freimann, München, Bayern, 80805, Deutschland",48.17410846165853,11.599466650474904
80807,München,FreimannMilbertshofenSchwabingSchwabing-FreimannSchwabing-West,Stadt München,Bayern,"Bayern, München, 80807",POINT (11.5920563 48.1861519),"München, Bayern, 80807, Deutschland",48.1861519,11.5920563
80809,München,MilbertshofenNeuhausenSchwabing-West,Stadt München,Bayern,"Bayern, München, 80809",POINT (11.56087186505074 48.17953288892782),"Milbertshofen-Am Hart, München, Bayern, 80809, Deutschland",48.179532888927824,11.560871865050741
80933,München,Am HartFeldmochingHasenbergl,Stadt München,Bayern,"Bayern, München, 80933",POINT (11.55735837506964 48.21188208337676),"Bezirksteil Hasenbergl-Lerchenau Ost, Feldmoching-Hasenbergl, München, Bayern, 80933, Deutschland",48.211882083376764,11.55735837506964
80935,München,Am HartHasenbergl,Stadt München,Bayern,"Bayern, München, 80935",POINT (11.55265195843617 48.199799574027),"Bezirksteil Hasenbergl-Lerchenau Ost, Feldmoching-Hasenbergl, München, Bayern, 80935, Deutschland",48.199799574027004,11.552651958436172
80937,München,Am Hart,Stadt München,Bayern,"Bayern, München, 80937",POINT (11.57614640790941 48.20383492192956),"Milbertshofen-Am Hart, München, Bayern, 80937, Deutschland",48.203834921929555,11.576146407909414
80939,München,Am HartFreimannSchwabing,Stadt München,Bayern,"Bayern, München, 80939",POINT (11.60794718380633 48.20085980722227),"Bezirksteil Freimann, Schwabing-Freimann, München, Bayern, 80939, Deutschland",48.200859807222265,11.60794718380633
80992,München,MilbertshofenMoosachNymphenburgObermenzing,Stadt München,Bayern,"Bayern, München, 80992",POINT (11.51722024548661 48.17769536273288),"Moosach, München, Bayern, 80992, Deutschland",48.177695362732884,11.517220245486612
